iter	Passed	Remaining
736	71140	25386
737	71228	25287
738	71309	25185
739	71362	25073
740	71449	24973
741	71511	24865
742	71591	24763
743	71669	24660
744	71739	24555
745	71820	24453
746	71903	24352
747	71956	24242
748	72087	24157
749	72188	24062
750	72274	23963
751	72382	23870
752	72449	23764
753	72501	23654
754	72595	23557
755	72670	23454
756	72743	23350
757	72810	23245
758	72893	23145
759	72951	23037
760	73015	22931
761	73093	22829
762	73196	22736
763	73272	22633
764	73333	22527
765	73411	22426
766	73491	22325
767	73571	22224
768	73666	22128
769	73737	22025
770	73820	21925
771	73899	21825
772	73986	21727
773	74089	21633
774	74163	21531
775	74270	21438
776	74336	21334
777	74390	21227
778	74472	21127
779	74580	21035
780	74672	20939
781	74773	20844
782	74835	20739
783	74946	20648
784	75018	20546
785	75094	20445
786	75188	20349
787	75266	20249
788	75345	20149
789	75440	20053
790	75505	19950
791	75593	19852
792	75679	19754
793	75754	19654
794	75820	19551
795	75892	19449
796	75977	19351
797	76034	19246
798	76110	19146
799	76219	19054
800	76282	18951
801	76374	18855
802	76434	18751
803	76517	18653
804	76582	18551
805	76686	18458
806	76754	18356
807	76834	18257
808	76896	18154
809	76955	18051
810	77013	17947
811	77071	17844
812	77159	17747
813	77212	17643
814	77267	17539
815	77363	17444
816	77427	17342
817	77505	17244
818	77593	17148
819	77682	17052
820	77734	16948
821	77802	16847
822	77885	16750
823	77959	16651
824	78008	16547
825	78091	16450
826	78153	16348
827	78230	16250
828	78329	16157
829	78409	16059
830	78491	15962
831	78556	15862
832	78632	15764
833	78683	15661
834	78760	15563
835	78814	15461
836	78892	15363
837	78961	15264
838	79060	15171
839	79127	15071
840	79207	14975
841	79282	14877
842	79360	14780
843	79441	14683
844	79509	14584
845	79573	14484
846	79624	14383
847	79711	14287
848	79768	14187
849	79835	14088
850	79908	13991
851	80011	13898
852	80078	13800
853	80150	13702
854	80210	13602
855	80282	13505
856	80344	13406
857	80393	13305
858	80468	13208
859	80549	13112
860	80609	13013
861	80681	12916
862	80774	12822
863	80857	12727
864	80929	12630
865	81006	12534
866	81076	12437
867	81154	12341
868	81213	12242
869	81293	12147
870	81352	12048
871	81409	11949
872	81486	11854
873	81550	11756
874	81630	11661
875	81678	11561
876	81762	11467
877	81828	11370
878	81901	11274
879	81963	11176
880	82108	11090
881	82238	11002
882	82319	10907
883	82396	10812
884	82513	10722
885	82592	10626
886	82658	10530
887	82734	10434
888	82806	10339
889	82880	10243
890	82950	10147
891	83032	10053
892	83119	9959
893	83217	9866
894	83295	9772
895	83388	9679
896	83489	9586
897	83555	9490
898	83631	9395
899	83710	9301
900	83815	9209
901	83898	9115
902	83991	9022
903	84087	8929
904	84153	8833
905	84255	8741
906	84319	8645
907	84374	8549
908	84445	8453
909	84529	8360
910	84591	8264
911	84671	8170
912	84743	8075
913	84828	7981
914	84911	7887
915	84986	7793
916	85057	7698
917	85146	7605
918	85216	7510
919	85307	7418
920	85383	7323
921	85441	7228
922	85525	7134
923	85590	7039
924	85659	6945
925	85800	6856
926	85927	6766
927	86009	6673
928	86100	6580
929	86183	6486
930	86260	6393
931	86320	6298
932	86385	6203
933	86460	6109
934	86532	6015
935	86609	5921
936	86680	5828
937	86733	5732
938	86795	5638
939	86892	5546
940	87058	5458
941	87209	5369
942	87396	5282
943	87493	5190
944	87660	5101
945	87802	5011
946	87916	4920
947	88059	4830
948	88202	4740
949	88365	4650
950	88475	4558
951	88574	4465
952	88675	4373
953	88817	4282
954	88952	4191
955	89065	4099
956	89180	4007
957	89321	3915
958	89466	3824
959	89579	3732
960	89684	3639
961	89816	3547
962	89964	3456
963	90108	3365
964	90212	3271
965	90298	3178
966	90452	3086
967	90610	2995
968	90728	2902
969	90836	2809
970	91008	2718
971	91161	2626
972	91309	2533
973	91416	2440
974	91566	2347
975	91685	2254
976	91818	2161
977	91903	2067
978	91957	1972
979	92092	1879
980	92241	1786
981	92399	1693
982	92473	1599
983	92622	1506
984	92813	1413
985	92947	1319
986	93031	1225
987	93169	1131
988	93302	1037
989	93440	943
990	93503	849
991	93581	754
992	93688	660
993	93792	566
994	93947	472
995	94021	377
996	94188	283
997	94314	189
998	94479	94
999	94533	0
